r,s
79.7,-0.9856659029989604
79.80000000000001,-0.9847112664387813
79.9,-0.9837538765768555
80.0,-0.982793723247329
80.10000000000001,-0.9818307962459579
80.2,-0.9808650853300325
80.30000000000001,-0.9798965802183018
80.4,-0.9789252705909021
80.5,-0.9779511460892826
80.60000000000001,-0.9769741963161362
80.7,-0.9759944108353305
80.80000000000001,-0.9750117791718376
80.9,-0.9740262908116702
81.0,-0.9730379352018146
81.10000000000001,-0.972046701750167
81.2,-0.971052579825473
81.30000000000001,-0.9700555587572646
81.4,-0.9690556278358028
81.5,-0.9680527763120191
81.60000000000001,-0.9670469933974601
81.7,-0.9660382682642333
81.80000000000001,-0.9650265900449537
81.9,-0.9640119478326944
82.0,-0.9629943306809362
82.10000000000001,-0.9619737276035211
82.2,-0.9609501275746068
82.30000000000001,-0.9599235195286229
82.4,-0.9588938923602298
82.5,-0.9578612349242784
82.60000000000001,-0.9568255360357726
82.7,-0.9557867844698341
82.80000000000001,-0.9547449689616683
82.9,-0.9537000782065331
83.0,-0.9526521008597094
83.10000000000001,-0.951601025536474
83.2,-0.9505468408120751
83.30000000000001,-0.9494895352217089
83.4,-0.9484290972605003
83.5,-0.9473655153834838
83.60000000000001,-0.9462987780055887
83.7,-0.9452288735016263
83.80000000000001,-0.9441557902062784
83.9,-0.9430795164140902
84.0,-0.9420000403794637
84.10000000000001,-0.9409173503166559
84.2,-0.9398314343997787
84.30000000000001,-0.9387422807628003
84.4,-0.937649877499552
84.5,-0.9365542126637353
84.60000000000001,-0.9354552742689335
84.7,-0.9343530502886258
84.80000000000001,-0.9332475286562038
84.9,-0.9321386972649921
85.0,-0.931026543968271
85.10000000000001,-0.9299110565793025
85.2,-0.9287922228713608
85.30000000000001,-0.9276700305777634
85.4,-0.9265444673919091
85.5,-0.925415520967315
85.60000000000001,-0.9242831789176613
85.7,-0.9231474288168363
85.80000000000001,-0.9220082581989868
85.9,-0.9208656545585713
86.0,-0.9197196053504169
86.10000000000001,-0.9185700979897796
86.2,-0.9174171198524104
86.30000000000001,-0.9162606582746216
86.4,-0.9151007005533603
86.5,-0.9139372339462845
86.60000000000001,-0.9127702456718424
